product,entry,kegg,name,formula,metanetx,modelseed,bigg,chebi,metacyc,sabio_rk,reactome,smiles
CPA,C03032,C03032,Cyclopiazonic acid,C20H20N2O3,MNXM736222,,,22450,,,,CC(=O)C1=C(O)[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3C(C)(C)N2C1=O
prodeoxyviolacein,,,,,,,,,,,,
very long chain fatty acids,,,,,,,,,,,,
docosanol,,,,,,,,,,,,
Triacylglycerols,,,,,,,,,,,,
apigenin-7-O-glucuronide,,,,,,,,,,,,
scutellarin,,,,,,,,,,,,
violacein pigment molecule,,,,,,,,,,,,
xylose utilisation,,,,,,,,,,,,
3-hydroxypropanoate,C01013,C01013,3-Hydroxypropanoate,C3H6O3,MNXM872,cpd00745,3hpp,16510;33404,3-HYDROXY-PROPIONATE,2214,,O=C(O)CCO
Farnesene,,,,,,,,,,,,
α-phellandrene,,,,,,,,,,,,
α-terpinene,C09898,C09898,alpha-Terpinene,C10H16,MNXM5055,cpd06788,,10334,CPD-8735,,,CC1=CC=C(C(C)C)CC1
sabinene,C16777,C16777,Sabinene,C10H16,MNXM81353,cpd17119;cpd24545,,50027,CPD-4893,,,C=C1CCC2(C(C)C)CC12
para-hydroxyphenylacetate,,,,,,,,,,,,
p-hydroxyphenylethanol,,,,,,,,,,,,
"2,3-dimethyl-5-geranylgeranyl-benzoquinone",,,,,,,,,,,,
α-tocotrienol,C14153,C14153,alpha-Tocotrienol,C29H44O2,MNXM10684,cpd09852,avite2,33270,CPD-15836,,,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1
γ/β-tocotrienol,,,,,,,,,,,,
delta-tocotrienol,C14156,C14156,delta-Tocotrienol,C27H40O2,MNXM48991,cpd09855,,33276,CPD-15839,,,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@]1(C)CCc2cc(O)cc(C)c2O1
2-methyl-6-geranylgeranyl benzoquinol,,,,,,,,,,,,
2-hydroxyisoflavanones,,,,,,,,,,,,
deoxychalcone isoliquiritigenin,,,,,,,,,,,,
Naringenin chalcone,C06561,C06561,Naringenin chalcone,C15H12O5,MNXM727324,cpd03969,,15413;77645,CPD-20012,8729,,O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1O
isoflavones,,,,,,,,,,,,
Medium-chain fatty acids,,,,,,,,,,,,
rebaudioside M,,,,,,,,,,,,
rubusoside,,,,,,,,,,,,
carnosic acid,C21818,C21818,Carnosic acid,C20H28O4,MNXM726161,cpd34693,,138943;65585,CPD-18103,,,CC(C)c1cc2c(c(O)c1O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2
carnosic acid-related diterpenes,,,,,,,,,,,,
pisiferic acid,C09163,C09163,Pisiferic acid,C20H28O3,MNXM100790,cpd06059,,167487;70576,CPD-23297,,,CC(C)c1cc2c(cc1O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2
salviol,C21819,C21819,Salviol,C20H30O2,MNXM745646,cpd34091,,138944,CPD-20242,,,CC(C)c1cc2c(cc1O)[C@@]1(C)C[C@@H](O)CC(C)(C)[C@@H]1CC2
l-galactonate,C15930,C15930,L-Galactonate,C6H12O7,MNXM636,cpd14659,galctn__L,37425;53071,CPD0-1083,24860,,O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO
Glycogen,C00182,C00182,Glycogen,C24H42O21,MNXM738131,cpd00155,,,,1962,,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
Glycogen,C00369,C00369,Starch,(C12H20O10)n,MNXM725902,,,,,,,*O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](*)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
Growth rate,,,,,,,,,,,,
Residual cellobiose,,,,,,,,,,,,
vindoline,C01626,C01626,Vindoline,C25H32N2O6,MNXM1108082,,,,,,,CC[C@]12C=CCN3CC[C@@]4(c5ccc(OC)cc5N(C)[C@H]4[C@](O)(C(=O)OC)[C@@H]1OC(C)=O)[C@@H]32
vindorosine,,,,,,,,,,,,
ribitol,C00474,C00474,Ribitol,C5H12O5,MNXM1820,cpd00366,rbt,15963,RIBITOL,2786,,OC[C@H](O)[C@H](O)[C@H](O)CO
wax ester synthase,,,,,,,,,,,,
Compound I,,,,,,,,,,,,
Compound II,,,,,,,,,,,,
germacrene A,,,,,,,,,,,,
Pinostilbene,,,,,,,,,,,,
Pterostilbene,C10287,C10287,Pterostilbene,C16H16O3,MNXM2720,cpd07176,,8630,CPD-6959,,,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1
cucurbitadienol,C19819,C19819,Cucurbitadienol,C30H50O,MNXM5105,cpd21062,,62456,CPD-11541,,,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(C)CC[C@]12C
sophorolipids,,,,,,,,,,,,
resveratrol L-glucoside,,,,,,,,,,,,
taraxerol,C08637,C08637,Taraxerol,C30H50O,MNXM733670,cpd05544,,9402,CPD-10667,,,CC1(C)CC[C@]2(C)CC=C3[C@@](C)(CC[C@H]4[C@@]3(C)CC[C@H]3C(C)(C)[C@@H](O)CC[C@@]34C)[C@@H]2C1
heterologous lipases,,,,,,,,,,,,
citric acid/isocitric acid,,,,,,,,,,,,
mono-rhamnolipids,,,,,,,,,,,,
rhamnolipids,,,,,,,,,,,,
Cellobiohydrolase I,,,,,,,,,,,,
Gallic acid,C01424,C01424,Gallate,C7H6O5,MNXM670,cpd01020,ga,16918;30778,CPD-183,5573,,O=C(O)c1cc(O)c(O)c(O)c1
2-Methylbutanol,,,,,,,,,,,,
3-Methylbutyric acid,,,,,,,,,,,,
3-Methylbutanol,C07328,C07328,3-Methylbutanol,C5H12O,MNXM1670,cpd04533,iamoh,15837,CPD-7032,9439,,CC(C)CCO
GDP-L-Fucose,C00325,C00325,GDP-L-fucose,C16H25N5O15P2,MNXM1106003,cpd23744;cpd27127,gdpfuc,13332;17009;57273;57984,CPD-13118,1562;29056,R-ALL-1463452;R-ALL-205683;R-ALL-742368,C[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O
GDP-D-Ara,,,,,,,,,,,,
glucuronic acid,C00191,C00191,D-Glucuronate,C6H10O7,MNXM1105765,cpd00164,glcur,47952;58720,D-Glucopyranuronate,,,O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
alpha-ketoglutaric acid,C00026,C00026,2-Oxoglutarate,C5H6O5,MNXM20,cpd00024,akg,16810;30915;30916,2-KETOGLUTARATE,1922,R-ALL-113594;R-ALL-113671;R-ALL-1650779;R-ALL-29406;R-ALL-389537;R-ALL-561075,O=C(O)CCC(=O)C(=O)O
"3beta,20S-Di-O-Glc-DM",,,,,,,,,,,,
Ginsenoside F2,C20779,C20779,Ginsenoside F2,C42H72O13,MNXM727145,cpd23237;cpd31343,,77145,CPD-12100,,,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C
tryptophol,C00955,C00955,Indole-3-ethanol,C10H11NO,MNXM1686,cpd00704,ind3eth,17890,CPD-341,5334,,OCCc1c[nH]c2ccccc12
α-santalol/α-santalene,,,,,,,,,,,,
13R-manoyl oxide,,,,,,,,,,,,
Diacylglycerol,C00165,C00165,Diacylglycerol,C5H6O5R2,MNXM738569,,,,,,,*C(=O)OCC(CO)OC(*)=O
Total phospholipids,,,,,,,,,,,,
phosphatidylinositol,C01194,C01194,1-Phosphatidyl-D-myo-inositol,C11H17O13PR2,MNXM730330,,,,,,,*C(=O)OCC(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)OC(*)=O
Phosphatidylethanolamine,C00350,C00350,Phosphatidylethanolamine,C7H12NO8PR2,MNXM115,cpd11456,pe_hs,16038;45210;57613,,5052,R-ALL-1500581;R-ALL-1524083;R-ALL-1602375;R-ALL-3234112;R-ALL-939760;R-ALL-947595,*C(=O)OCC(COP(=O)(O)OCCN)OC(*)=O
Total sphingolipids,,,,,,,,,,,,
Sterols,,,,,,,,,,,,
UFA/SFA ratio in cell membrane lipids,,,,,,,,,,,,
adenosine triphosphate content,,,,,,,,,,,,
Glucose 6-phosphate,C00092,C00092,D-Glucose 6-phosphate,C6H13O9P,MNXM1105858,cpd00079;cpd26836,g6p,14314;4170;61548,D-glucopyranose-6-phosphate;Glucose-6-phosphate,1404;1405,R-ALL-1629756,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
Fructose 6-phosphate,,,,,,,,,,,,
Uridine diphosphate glucose,C00029,C00029,UDP-glucose,C15H24N2O17P2,MNXM1104702,cpd00026;cpd28293,udpg,18066;46229;58367;58885,CPD-12575,1277;3918,R-ALL-173594;R-ALL-29410;R-ALL-417855;R-ALL-744227,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
GDP-mannose,C00096,C00096,GDP-mannose,C16H25N5O16P2,MNXM1104188,cpd00083,gdpmann,15820;57527,GDP-MANNOSE,1559;29021;3925,R-ALL-162860;R-ALL-744233,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
fisetin,C10041,C10041,Fisetin,C15H10O6,MNXM53373,cpd06931,,42567;71992,CPD-13503,,,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12
resokaempferol,,,,,,,,,,,,
Poly-(3-hydroxybutyrate,,,,,,,,,,,,
β-farnesene,C09666,C09666,beta-Farnesene,C15H24,MNXM735671,cpd06560,,10418,CPD-8239,11755,,C=CC(=C)CC/C=C(\C)CCC=C(C)C
"2R,3R-butanediol",,,,,,,,,,,,
carotenoid,,,,,,,,,,,,
Glycyrrhetinic acid,C02283,C02283,Glycyrrhetinate,C30H46O4,MNXM735446,cpd01537;cpd34106,,17573;30853,CPD-14483,,,CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C
fatty acid ethyl ester,,,,,,,,,,,,
longifolene,C09699,C09699,Longifolene,C15H24,MNXM4657,cpd06593,,6530,CPD-8701,,,C=C1C2CCC3C2C(C)(C)CCCC13C
Spermidine,C00315,C00315,Spermidine,C7H19N3,MNXM124,cpd00264,spmd,16610;57834,SPERMIDINE,3088,R-ALL-141324;R-ALL-204635;R-ALL-549222,NCCCCNCCCN
Ribonucleic acid,C00046,C00046,RNA,C10H18O13P2R2(C5H8O6PR)n,MNXM90337,cpd11613,,18273,RNA-Holder,1730;6652,,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](O)[C@H]1O
Interferon Gamma,,,,,,,,,,,,
torulene,C08613,C08613,Torulene,C40H54,MNXM4117,cpd05520,,9638,CPD-7953,,,CC(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
fermented beers,,,,,,,,,,,,
epsilon-caprolactone,C01880,C01880,epsilon-Caprolactone,C6H10O2,MNXM2682,cpd01294,,17915,CPD-101,5864,,O=C1CCCCCO1
Fatty acid ethyl esters,,,,,,,,,,,,
S-Adenosyl-l-methionine,C00019,C00019,S-Adenosyl-L-methionine,C15H22N6O5S,MNXM1102072,cpd00017;cpd33804,amet,142094;15414;33442;59789;67040,S-ADENOSYLMETHIONINE,1272,R-ALL-2162265;R-ALL-71284;R-ALL-77087,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
total fatty acid content,,,,,,,,,,,,
Geranylgeranyl diphosphate,C00353,C00353,Geranylgeranyl diphosphate,C20H36O7P2,MNXM728266,cpd00289,ggdp,48861;58756,GERANYLGERANYL-PP,5054,,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
nor-copalylol,,,,,,,,,,,,
syn-copalylol,,,,,,,,,,,,
Benzyl alcohol,C00556,C00556,Benzyl alcohol,C7H8O,MNXM562,cpd00435;cpd02199,bzalc,17987;25399,BENZYL-ALCOHOL,2093,,OCc1ccccc1
L-Phenylacetylcarbinol,,,,,,,,,,,,
cytidine-5′-diphosphocholine,,,,,,,,,,,,
Menaquinone-4,,,,,,,,,,,,
triacetic acid lactone,,,,,,,,,,,,
Lactobionic acid,,,,,,,,,,,,
(9Z)-octadecen-1-ol,,,,,,,,,,,,
(-)-borneol,C01766,C01766,(-)-Borneol,C10H18O,MNXM733358,cpd19017,,15394,CPD-1908,5788,,CC1(C)C2CCC1(C)[C@H](O)C2
betanin,C08540,C08540,Betanin,C24H26N2O13,MNXM735320,cpd05447,,3080,CPD-8654,,,O=C(O)C1=C/C(=C/C=[N+]2/c3cc(O)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3C[C@H]2C(=O)[O-])C[C@@H](C(=O)O)N1
(–)-α-bisabolol,,,,,,,,,,,,
L-ascorbic acid,C00072,C00072,Ascorbate,C6H8O6,MNXM727871,cpd00059,ascb__L,29073;38290,ASCORBATE,1929,R-ALL-1981146;R-ALL-198816;R-ALL-198836;R-ALL-351595;R-ALL-5251226,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
3′-C-prenyl-naringenin,,,,,,,,,,,,
Triacetyl sphinganine,,,,,,,,,,,,
Triacetyl sphingadienine,,,,,,,,,,,,
Triacetyl sphingosine,,,,,,,,,,,,
triglyceride,C00422,C00422,Triacylglycerol,C6H5O6R3,MNXM732989,,,,,,,*C(=O)OCC(COC(*)=O)OC(*)=O
cellular citrate,,,,,,,,,,,,
extracellular citrate,,,,,,,,,,,,
maltase,,,,,,,,,,,,
trans-nootkatol,,,,,,,,,,,,
abietadiene,C11878,C11878,(-)-Abietadiene,C20H32,MNXM1997,cpd08676,,30232;50072,--ABIETADIENE,,,CC(C)C1=CC2=CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1
cis-abienol,C20481,C20481,cis-Abienol,C20H34O,MNXM741730,cpd31130,,68624,,,,C=C/C(C)=C\C[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O
18-hydroxy-miltiradiene,,,,,,,,,,,,
19-hydroxy-miltiradiene,,,,,,,,,,,,
3β-hydroxy-manool,,,,,,,,,,,,
3β-hydroxy-manoyl oxide,,,,,,,,,,,,
manool,,,,,,,,,,,,
manoyl oxide,C21725,C21725,Manoyl oxide,C20H34O,MNXM814673,,,,,,,C=C[C@@]1(C)CC[C@@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3CC[C@@]2(C)O1
miltiradiene,C20711,C20711,Miltiradiene,C20H32,MNXM97168,cpd24289,,65037,CPD-14312,,,CC(C)C1=CCC2=C(CC[C@H]3C(C)(C)CCC[C@]23C)C1
6′-Sialyllactose,,,,,,,,,,,,
Glucose,C00031,C00031,D-Glucose,C6H12O6,MNXM1137670,cpd00027,glc__D,4167,Glucopyranose;Hederagenin-Monoglucosides;Soyasapogenol-B-Monoglucosides;Soyasapogenol-E-Monoglucosides,1406;1407,,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
Citrate,C00158,C00158,Citrate,C6H8O7,MNXM1107753,cpd00137,cit,133748;16947;30769;35802;35804;35806;35808;35809;35810;76049,CIT,1952,R-ALL-29654;R-ALL-433138;R-ALL-76190,O=C(O)CC(O)(CC(=O)O)C(=O)O
Mannitol,C00392,C00392,Mannitol,C6H14O6,MNXM1104590,cpd00314,mnl,16899,MANNITOL,2037;3932,,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
Erythritol,C00503,C00503,Erythritol,C4H10O4,MNXM734797,cpd00392,,17113,ERYTHRITOL,5122,,OC[C@H](O)[C@H](O)CO
Lipid,C01356,C01356,Lipid,,MNXM12117,cpd11852,,18059,,,R-ALL-5229279,
Ginsenoside Rg3,C20778,C20778,Ginsenoside Rg3,C42H72O13,MNXM725959,cpd23239,,67991,CPD-12102,,,CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C
Ginsenoside Rh2,,,,,,,,,,,,
cheilanthifoline,,,,,,,,,,,,
scoulerine,C12326,C12326,"(R,S)-Scoulerine",C19H21NO4,MNXM174170,cpd09097,,31033,,,,COc1cc2c(cc1O)C1Cc3ccc(OC)c(O)c3CN1CC2
cis-N-methylstylopine,,,,,,,,,,,,
protopine,C05189,C05189,Protopine,C20H19NO5,MNXM3345,cpd03085,,16415,PROTOPINE,,,CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3
stylopine,C05175,C05175,Stylopine,C19H17NO4,MNXM2760,cpd03080,,18285,S-STYLOPINE,,,c1cc2c(c3c1C[C@H]1c4cc5c(cc4CCN1C3)OCO5)OCO2
norcoclaurine,C06346,C06346,"(R,S)-Norcoclaurine",C16H17NO3,MNXM728280,,,18418;58482,CPD-21764,8564,,Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1
mRNA,,,,,,,,,,,,
Triacylglycerides,,,,,,,,,,,,
medicagenic acid,,,,,,,,,,,,
ginsenoside Rh2,,,,,,,,,,,,
Nepetalactol 3,,,,,,,,,,,,
betanidin,C08539,C08539,Betanidin,C18H16N2O8,MNXM736189,cpd05446,,,CPD-8653,,,O=C(O)C1=C/C(=C/C=[N+]2/c3cc(O)c(O)cc3C[C@H]2C(=O)[O-])C[C@@H](C(=O)O)N1
cyclo-DOPA glucoside,,,,,,,,,,,,
2-heptadecanone,,,,,,,,,,,,
8-hydroxy-α-humulene,,,,,,,,,,,,
humulene,C09684,C09684,Humulene,C15H24,MNXM1106055,cpd06578,,5768,CPD-8233,,,C/C1=C\CC/C(C)=C/CC(C)(C)/C=C/C1
zerumbone,C20262,C20262,Zerumbone,C15H22O,MNXM738686,cpd21492,,63892,CPD-11421,,,C/C1=C\CC(C)(C)/C=C/C(=O)/C(C)=C/CC1
alphitolic acid,C16912,C16912,Alphitolic acid,C30H48O4,MNXM101724,cpd17190,,67600,,,,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
corosolic acid,,,,,,,,,,,,
maslinic acid,,,,,,,,,,,,
oleanolic acid,C17148,C17148,Oleanolic acid,C30H48O3,MNXM20060,cpd17382,,37659;82828,CPD-9459,,,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1
6-methylsalicylic acid,C02657,C02657,6-Methylsalicylate,C8H8O3,MNXM2093,cpd01728,,17637;36658,CPD-637,,,Cc1cccc(O)c1C(=O)O
dihydromonacolin L,C15536,C15536,Dihydromonacolin L,C19H30O3,MNXM3587,cpd11211,,14158,DIHYDROMONACOLIN-L,,,C[C@@H]1CC[C@H]2[C@@H](C=C[C@H](C)[C@@H]2CC[C@@H]2C[C@@H](O)CC(=O)O2)C1
dephosphorylated aeruginascin,,,,,,,,,,,,
psilocin,C08312,C08312,Psilocin,C12H16N2O,MNXM7717,cpd05227,,8613,CPD-20617,,,CN(C)CCc1c[nH]c2cccc(O)c12
α-amyrin,C08615,C08615,alpha-Amyrin,C30H50O,MNXM4443,cpd05522,,10213,CPD-8250,,,C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12
(Z)-hexadec-11-en-1-ol,,,,,,,,,,,,
(Z)-tetradec-9-en-1-ol,,,,,,,,,,,,
Z)-tetradec-9-enoate,,,,,,,,,,,,
compound K,,,,,,,,,,,,
(-)-eremophilene,,,,,,,,,,,,
ergothioneine,C05570,C05570,Ergothioneine,C9H16N3O2S,MNXM732852,cpd03301;cpd35680,,134344;4828;82707,Ergothioneine;Ergothioneine-Thione,7990,R-ALL-549260;R-ALL-549261,C[N+](C)(C)[C@@H](Cc1c[nH]c(S)n1)C(=O)O
Diosgenin,C08898,C08898,Diosgenin,C27H42O3,MNXM741120,cpd05795;cpd33475,,4629,CPD-15437,,,C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@@]32C)O[C@]12CC[C@@H](C)CO2
Sterol,C00370,C00370,Sterol,C17H28O,MNXM729150,cpd00301;cpd01808,,,,5056,,OC1CCC2C(CCC3C4CCCC4CCC23)C1
Cholesterol,C00187,C00187,Cholesterol,C27H46O,MNXM726122,cpd00160,chsterol,16113;172955,CHOLESTEROL,,R-ALL-163586;R-ALL-171069;R-ALL-171083;R-ALL-171095;R-ALL-171135;R-ALL-171149;R-ALL-174672;R-ALL-176478;R-ALL-193156;R-ALL-193384;R-ALL-193840;R-ALL-196084;R-ALL-216762;R-ALL-2239405;R-ALL-2429660,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
Campesterol,C01789,C01789,Campesterol,C28H48O,MNXM731577,cpd01234,,28623,CPD-707,5804,,CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
"Ergosta-5,22-dien-3-ol",,,,,,,,,,,,
Free cholesterol,,,,,,,,,,,,
Hydrocortisone,C00735,C00735,Cortisol,C21H30O5,MNXM730404,cpd00546,crtsl,17650,CORTISOL,5208,R-ALL-193977;R-ALL-194011,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
6-APA,,,,,,,,,,,,
7-amino cephalosporanic acid,C07756,C07756,7-Aminocephalosporanic acid,C10H12N2O5S,MNXM4186,cpd04878,,2255;58501,CPD-7271,9860,,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1
Cephalosporin C,C00916,C00916,Cephalosporin C,C16H21N3O8S,MNXM1321,cpd00679,,15776;57511,CEPHALOSPORIN-C,5314,,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CCC[C@@H](N)C(=O)O)[C@H]2SC1
7-amino desacetoxy cephalosporanic acid,,,,,,,,,,,,
ACV tripeptide,,,,,,,,,,,,
isopenicillin N,C05557,C05557,Isopenicillin N,C14H21N3O6S,MNXM1192,cpd03296,,18165;58399,ISOPENICILLIN-N,7984,,CC1(C)S[C@@H]2[C@H](NC(=O)CCC[C@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O
2-pentadecanone,,,,,,,,,,,,
2-tridecanone,,,,,,,,,,,,
acTAG,,,,,,,,,,,,
lipid bodies,,,,,,,,,,,,
β-elemene,C17094,C17094,beta-Elemene,C15H24,MNXM30260,cpd17350,,62855,CPD-8232,,,C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C
Human Serum Albumin,,,,,,,,,,,,
Oxidized glutathione,C00127,C00127,Glutathione disulfide,C20H32N6O12S2,MNXM729383,cpd00111,gthox,17858;58297,OXIDIZED-GLUTATHIONE,1939,R-ALL-111745;R-ALL-1655882;R-ALL-3341331,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
grams lipids per gram dry cell weight,,,,,,,,,,,,
monosaccharide,,,,,,,,,,,,
lupeol,C08628,C08628,Lupeol,C30H50O,MNXM4039,cpd05535,,6570,CPD-90,,,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
Betulinic acid,C08619,C08619,Betulinic acid,C30H48O3,MNXM94519,cpd05526,,3087,CPD-14493,,,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
"3,28-dihydroxy-lanosta-8,24-dien-26-oic acid",,,,,,,,,,,,
"3-hydroxy-lanosta-8,24-dien-26-oic acid",,,,,,,,,,,,
pullulan,C00480,C00480,Pullulan,(C36H60O30)n,MNXM741329,,,,,,,*C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](OC[C@H]4O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O*)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@@H](O)[C@@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
campesterol,C01789,C01789,Campesterol,C28H48O,MNXM731577,cpd01234,,28623,CPD-707,5804,,CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
2-phenylacetaldehyde,,,,,,,,,,,,
single-chain insulin glargine,,,,,,,,,,,,
active amyl alcohol,,,,,,,,,,,,
formaldehyde,C00067,C00067,Formaldehyde,CH2O,MNXM736417,cpd00055,fald,16842,FORMALDEHYDE,1928,R-ALL-143501;R-ALL-29478;R-ALL-879250,C=O
L-arabinitol,C00532,C00532,L-Arabitol,C5H12O5,MNXM740330,cpd00417,abt,18403,L-ARABITOL,2078,,OC[C@H](O)C(O)[C@@H](O)CO
Hepatitis B surface antigen,,,,,,,,,,,,
recombinant R. oryzae lipase,,,,,,,,,,,,
Recombinant Rhizopus oryzae lipase,,,,,,,,,,,,
Adenosine A2A receptor,,,,,,,,,,,,
ligand-binding receptor,,,,,,,,,,,,
integral membrane proteins,,,,,,,,,,,,
Candida albicans multidrug efflux pump,,,,,,,,,,,,
P-glycoprotein,,,,,,,,,,,,
